Plant,Product  Order,Product Code,production date,         Plan Qty,product name,Base qty,Required qty,Actual qty,difference,Gain,Loss/Gain %,Std Loss %,Std Loss Qty,            Loss (Gain),Std Cost,Base Req. Value,Std Loss Value,Standard Value,Actual Value,Std Cost Variance,         Variance_2
plant 2,11928212,535609,10.10.2022,10944,crystal milk,853.632,870.705,1179,325.368,Loss,38.12,2,17.073,308.3,$3021213.01,25790041.04,515800.82,26305852.74,35620101.39,9314248.65,9830060.35
plant 2,11920219,699076,28.09.2022,11830,juice,851.761,868.796,935,83.239,Loss,9.77,2,17.035,66.2,$1295929.78,11038224.45,220764.49,11258986.09,12116943.44,857957.35,1078718.99
plant 2,11857329,699076,28.06.2022,1190,juice,85.68,87.394,106,20.32,Loss,23.72,2,1.714,18.61,$1295929.78,1110352.64,22207.05,1132564.87,1373685.57,241120.7,263332.93
plant 2,11915137,535625,15.09.2022,10656,valtino malt,843.956,860.835,856,12.044,Loss,1.43,2,16.879,-4.84,$1302828.68,10995300.81,219906.02,11215205.27,11152213.5,-62991.77,156912.69
plant 2,11825780,535626,11.04.2022,10560,valtino malt,836.353,853.08,1052,215.647,Loss,25.78,2,16.727,198.92,$1302828.68,10896246.75,217924.94,11114170.9,13705757.71,2591586.81,2809510.96
plant 2,11837148,755760,01.05.2022,10240,crystal milk,829.44,846.029,657,-172.44,Gain,20.79,2,16.589,-189.03,$2401765.2,19921201.27,398424.03,20319630.1,15779597.36,-4540032.74,-4141603.91
plant 2,11927381,535611,20.10.2022,10230,crystal milk,828.63,845.203,854,25.37,Loss,3.06,2,16.573,8.8,$3021213.01,25034677.36,500693.55,25535383,25801159.11,265776.11,766481.75
plant 2,11829806,535625,17.04.2022,10454,valtino malt,827.957,844.516,1466,638.043,Loss,77.06,2,16.559,621.48,$1302828.68,10786861.25,215737.23,11002596.66,19099468.45,8096871.79,8312607.2
plant 2,11851916,535625,26.05.2022,10410,valtino malt,824.473,840.962,597,-227.473,Gain,27.59,2,16.489,-243.96,$1302828.68,10741470.7,214829.41,10956294.12,7777887.22,-3178406.9,-2963583.48
plant 2,11827030,535625,13.04.2022,10396,valtino malt,823.364,839.831,0,-823.364,null,0,2,16.467,-839.83,$1302828.68,10727022.33,214540.45,10941559.13,0,-10941559.13,-10727022.33
plant 2,11891523,535625,25.08.2022,10368,valtino malt,821.146,837.569,1085,263.854,Loss,32.13,2,16.423,247.43,$1302828.68,10698125.59,213962.51,10912089.15,14135691.18,3223602.03,3437565.59
plant 2,11931779,535611,16.10.2022,10049,crystal milk,813.97,830.249,693,-120.97,Gain,14.86,2,16.279,-137.25,$3021213.01,24591767.54,491835.35,25083590.8,20937006.16,-4146584.64,-3654761.38
plant 2,11929257,699076,11.10.2022,11252,juice,810.144,826.347,870,59.856,Loss,7.39,2,16.203,43.65,$1295929.78,10498897.36,209977.95,10708876.86,11274589.09,565712.23,775691.73
plant 2,11920229,535611,25.09.2022,1000,crystal milk,81,82.62,82,1,Loss,1.23,2,1.62,-0.62,$3021213.01,2447182.54,48943.65,2496126.19,2477394.67,-18731.52,30212.13
plant 2,11905524,769430,16.09.2022,10145,fantino ice,803.484,819.554,586,-217.484,Gain,27.07,2,16.07,-233.55,$1104568.51,8875031.25,177500.63,9052535.41,6472771.47,-2579763.94,-2402259.78
plant 2,11857315,535611,22.06.2022,9900,crystal milk,801.9,817.938,1049,247.1,Loss,30.81,2,16.038,231.06,$3021213.01,24227107.13,484542.14,24711649.27,31692524.47,6980875.2,7465417.34
plant 2,11845557,535625,15.05.2022,10108,valtino malt,800.554,816.565,805,4.446,Loss,0.56,2,16.011,-11.57,$1302828.68,10429847.11,208596.94,10638443.01,10487770.87,-150672.14,57923.76
plant 2,11863834,535609,15.06.2022,10224,crystal milk,797.473,813.422,1120,322.527,Loss,40.44,2,15.949,306.58,$3021213.01,24093358.03,481867.16,24575211.29,33837585.71,9262374.42,9744227.68
plant 2,11884001,535609,20.07.2022,10224,crystal milk,797.473,813.422,1040,242.527,Loss,30.41,2,15.949,226.58,$3021213.01,24093358.03,481867.16,24575211.29,31420615.3,6845404.01,7327257.27
plant 2,11821863,535626,03.04.2022,9984,valtino malt,790.733,806.548,1016,225.267,Loss,28.49,2,15.815,209.45,$1302828.68,10301896.31,206037.93,10507938.66,13236739.39,2728800.73,2934843.08
plant 2,11877289,535609,18.07.2022,10080,crystal milk,786.24,801.965,1002,215.76,Loss,27.44,2,15.725,200.04,$3021213.01,23753985.17,475079.7,24229070.92,30272554.36,6043483.44,6518569.19
plant 2,11837638,535625,17.05.2022,9874,valtino malt,782.022,797.662,1026,243.978,Loss,31.2,2,15.64,228.34,$1302828.68,10188406.9,203768.14,10392169.31,13367022.26,2974852.95,3178615.36
plant 2,11931358,535625,23.10.2022,9864,valtino malt,781.229,796.854,1380,598.771,Loss,76.64,2,15.625,583.15,$1302828.68,10178075.47,203561.51,10381642.45,17979035.78,7597393.33,7800960.31
plant 2,11821599,699076,26.04.2022,10780,juice,776.161,791.684,952,175.839,Loss,22.65,2,15.523,160.32,$1295929.78,10058501.54,201170.03,10259668.72,12337251.51,2077582.79,2278749.97
plant 2,11857285,535611,11.06.2022,9570,crystal milk,775.171,790.674,832,56.829,Loss,7.33,2,15.503,41.33,$3021213.01,23419567.1,468391.34,23887945.75,25136492.24,1248546.49,1716925.14
plant 2,11857283,535609,16.06.2022,9841,crystal milk,767.598,782.95,473,-294.598,Gain,38.38,2,15.352,-309.95,$3021213.01,23190770.64,463815.41,23654587.26,14290337.54,-9364249.72,-8900433.1
plant 2,11891469,535626,26.08.2022,9636,valtino malt,763.172,778.435,1029,265.828,Loss,34.83,2,15.263,250.57,$1302828.68,9942823.69,198856.47,10141674.44,13406107.12,3264432.68,3463283.43
plant 2,11891480,535625,07.08.2022,9587,valtino malt,759.291,774.477,474,-285.291,Gain,37.57,2,15.186,-300.48,$1302828.68,9892260.91,197845.22,10090108.48,6175407.94,-3914700.54,-3716852.97
plant 2,11837669,699076,24.05.2022,10450,juice,752.4,767.448,681,-71.4,Gain,9.49,2,15.048,-86.45,$1295929.78,9750575.66,195011.51,9945587.18,8825281.8,-1120305.38,-925293.86
plant 2,11925017,535611,03.10.2022,9272,crystal milk,751.032,766.053,811,59.968,Loss,7.98,2,15.021,44.95,$3021213.01,22690276.49,453805.53,23144092.9,24502037.51,1357944.61,1811761.02
plant 2,11896319,535612,11.08.2022,9479,crystal milk,750.737,765.752,988,237.263,Loss,31.6,2,15.015,222.25,$3021213.01,22681363.91,453627.28,23134999.05,29849584.54,6714585.49,7168220.63
plant 2,11915423,535625,14.09.2022,9432,valtino malt,747.015,761.955,942,194.985,Loss,26.1,2,14.94,180.05,$1302828.68,9732325.66,194646.51,9926968.27,12272646.17,2345677.9,2540320.51
plant 2,11837600,535611,10.05.2022,9189,crystal milk,744.31,759.196,813,68.69,Loss,9.23,2,14.886,53.8,$3021213.01,22487190.55,449743.81,22936928.32,24562461.77,1625533.45,2075271.22
plant 2,11821865,699120,03.04.2022,924,null,73.181,74.645,0,-73.181,null,0,2,1.464,-74.65,$950439.45,695541.09,13910.82,709455.53,0,-709455.53,-695541.09
plant 2,11837622,535625,07.05.2022,9212,valtino malt,729.591,744.183,555.362,-174.229,Gain,23.88,2,14.592,-188.82,$1302828.68,9505320.79,190106.42,9695429.56,7235415.41,-2460014.15,-2269905.38
plant 2,11938555,535625,27.10.2022,9179,valtino malt,726.977,741.517,501,-225.977,Gain,31.08,2,14.54,-240.52,$1302828.68,9471264.85,189425.3,9660696.14,6527171.69,-3133524.45,-2944093.16
plant 2,11875046,535625,05.07.2022,9072,valtino malt,718.503,732.873,920,201.497,Loss,28.04,2,14.37,187.13,$1302828.68,9360863.15,187217.26,9548079.63,11986023.86,2437944.23,2625160.71
plant 2,11865722,535612,17.06.2022,9067,crystal milk,718.107,732.469,691,-27.107,Gain,3.77,2,14.362,-41.47,$3021213.01,21695542.11,433910.84,22129448.72,20876581.9,-1252866.82,-818960.21
plant 2,11836917,755760,30.04.2022,8844,crystal milk,716.365,730.692,470,-246.365,Gain,34.39,2,14.327,-260.69,$2401765.2,17205405.27,344108.11,17549506.18,11288296.44,-6261209.74,-5917108.83
plant 2,11924124,755760,01.10.2022,8844,crystal milk,716.365,730.692,1000,283.635,Loss,39.59,2,14.327,269.31,$2401765.2,17205405.27,344108.11,17549506.18,24017652,6468145.82,6812246.73
plant 2,11857263,535611,09.06.2022,8844,crystal milk,716.365,730.692,816,99.635,Loss,13.91,2,14.327,85.31,$3021213.01,21642912.58,432858.25,22075761.77,24653098.16,2577336.39,3010185.58
plant 2,11877323,535625,29.07.2022,9004,valtino malt,713.118,727.38,583,-130.118,Gain,18.25,2,14.262,-144.38,$1302828.68,9290705.83,185814.12,9476515.25,7595491.2,-1881024.05,-1695214.63
plant 2,11895643,535609,10.08.2022,9016,crystal milk,703.248,717.313,475,-228.248,Gain,32.46,2,14.065,-242.31,$3021213.01,21246620.07,424932.4,21671553.68,14350761.8,-7320791.88,-6895858.27
plant 2,11905185,535609,06.09.2022,9000,crystal milk,702,716.04,1000,298,Loss,42.45,2,14.04,283.96,$3021213.01,21208915.33,424178.31,21633093.64,30212130.1,8579036.46,9003214.77
plant 2,11877282,699076,29.07.2022,980,juice,70.561,71.972,172,101.439,Loss,143.76,2,1.411,100.03,$1295929.78,914421.01,18288.42,932706.58,2228999.22,1296292.64,1314578.21
plant 2,11854899,699076,01.06.2022,9660,juice,695.521,709.431,944,248.479,Loss,35.73,2,13.91,234.57,$1295929.78,9013463.77,180269.28,9193727.6,12233577.12,3039849.52,3220113.35
plant 2,11916600,535611,01.10.2022,8580,crystal milk,694.98,708.88,744,49.02,Loss,7.05,2,13.9,35.12,$3021213.01,20996826.18,419936.52,21416774.79,22477824.79,1061050,1480998.61
plant 2,11924106,699076,07.10.2022,9450,juice,680.4,694.008,940,259.6,Loss,38.15,2,13.608,245.99,$1295929.78,8817506.22,176350.12,8993856.35,12181739.93,3187883.58,3364233.71
plant 2,11837662,535625,24.05.2022,864,valtino malt,68.429,69.798,320,251.571,Loss,367.64,2,1.369,250.2,$1302828.68,891512.64,17830.25,909348.36,4169051.78,3259703.42,3277539.14
plant 2,11818722,535611,09.04.2022,8382,crystal milk,678.942,692.521,751,72.058,Loss,10.61,2,13.579,58.48,$3021213.01,20512284.03,410245.68,20922534.55,22689309.71,1766775.16,2177025.68
plant 2,11818794,535609,18.04.2022,8640,crystal milk,673.921,687.399,1000,326.079,Loss,48.39,2,13.478,312.6,$3021213.01,20360588.93,407211.78,20767788.02,30212130.1,9444342.08,9851541.17
plant 2,11875042,535611,05.07.2022,8316,crystal milk,673.596,687.068,951,277.404,Loss,41.18,2,13.472,263.93,$3021213.01,20350769.99,407015.4,20757787.8,28731735.73,7973947.93,8380965.74
plant 2,11852862,535611,28.05.2022,8316,crystal milk,673.596,687.068,910,236.404,Loss,35.1,2,13.472,222.93,$3021213.01,20350769.99,407015.4,20757787.8,27493038.39,6735250.59,7142268.4
plant 2,11874350,535626,04.07.2022,8448,valtino malt,669.082,682.464,944,274.918,Loss,41.09,2,13.382,261.54,$1302828.68,8716992.19,174339.84,8891336.72,12298702.74,3407366.02,3581710.55
plant 2,11891507,535611,21.08.2022,8184,crystal milk,662.905,676.163,1063,400.095,Loss,60.35,2,13.258,386.84,$3021213.01,20027772.1,400555.44,20428324.52,32115494.3,11687169.78,12087722.2
plant 2,11901479,535611,20.08.2022,826,crystal milk,66.907,68.245,0,-66.907,null,0,2,1.338,-68.25,$3021213.01,2021402.99,40428.06,2061826.82,0,-2061826.82,-2021402.99
plant 2,11837646,535625,18.05.2022,8311,valtino malt,658.231,671.396,367,-291.231,Gain,44.24,2,13.165,-304.4,$1302828.68,8575622.25,171512.45,8747139.64,4781381.26,-3965758.38,-3794240.99
plant 2,11908669,535609,01.09.2022,8436,crystal milk,658.009,671.169,460,-198.009,Gain,30.09,2,13.16,-211.17,$3021213.01,19879853.51,397597.07,20277445.15,13897579.85,-6379865.3,-5982273.66
plant 2,11860722,535625,09.06.2022,8280,valtino malt,655.776,668.892,870,214.224,Loss,32.67,2,13.116,201.11,$1302828.68,8543637.8,170872.76,8714516.81,11334609.52,2620092.71,2790971.72
plant 2,11823264,699120,06.04.2022,828,null,65.578,66.89,148,82.422,Loss,125.69,2,1.312,81.11,$950439.45,623279.18,12465.58,635748.95,1406650.39,770901.44,783371.21
plant 2,11924379,535612,01.10.2022,8157,crystal milk,646.035,658.956,411,-235.035,Gain,36.38,2,12.921,-247.96,$3021213.01,19518093.47,390361.87,19908464.4,12417185.47,-7491278.93,-7100908
plant 2,11877243,535626,12.07.2022,8096,valtino malt,641.204,654.028,896,254.796,Loss,39.74,2,12.824,241.97,$1302828.68,8353789.61,167075.79,8520864.36,11673344.97,3152480.61,3319555.36
plant 2,11916597,535609,27.09.2022,8208,crystal milk,640.225,653.03,800,159.775,Loss,24.96,2,12.805,146.97,$3021213.01,19342560.99,386851.22,19729427.32,24169704.08,4440276.76,4827143.09
plant 2,11937736,535625,26.10.2022,7992,valtino malt,632.967,645.626,920,287.033,Loss,45.35,2,12.659,274.37,$1302828.68,8246475.61,164929.51,8411400.69,11986023.86,3574623.17,3739548.25
plant 2,11890282,535611,01.08.2022,7809,crystal milk,632.529,645.18,930,297.471,Loss,47.03,2,12.651,284.82,$3021213.01,19110048.44,382200.97,19492262.1,28097280.99,8605018.89,8987232.55
plant 2,11932357,699076,18.10.2022,8767,juice,631.225,643.85,445,-186.225,Gain,29.5,2,12.625,-198.85,$1295929.78,8180232.75,163604.66,8343843.89,5766887.52,-2576956.37,-2413345.23
plant 2,11837147,755760,01.05.2022,7788,crystal milk,630.828,643.445,890,259.172,Loss,41.08,2,12.617,246.56,$2401765.2,15151007.38,303020.15,15454038.09,21375710.28,5921672.19,6224702.9
plant 2,11923999,535609,09.10.2022,8064,crystal milk,628.992,641.572,651,22.008,Loss,3.5,2,12.58,9.43,$3021213.01,19003188.14,380063.76,19383256.73,19668096.7,284839.97,664908.56
plant 2,11865880,535625,19.06.2022,7920,valtino malt,627.265,639.81,515,-112.265,Gain,17.9,2,12.545,-124.81,$1302828.68,8172188.32,163443.77,8335628.18,6709567.7,-1626060.48,-1462620.62
plant 2,11831914,535626,21.04.2022,7788,valtino malt,616.81,629.146,890,273.19,Loss,44.29,2,12.336,260.85,$1302828.68,8035977.58,160719.55,8196694.53,11595175.25,3398480.72,3559197.67
plant 2,11849021,535625,21.05.2022,7776,valtino malt,615.86,628.177,910,294.14,Loss,47.76,2,12.317,281.82,$1302828.68,8023600.71,160472.01,8184070.12,11855740.99,3671670.87,3832140.28
plant 2,11927382,535611,11.10.2022,7524,crystal milk,609.444,621.633,629,19.556,Loss,3.21,2,12.189,7.37,$3021213.01,18412601.42,368252.03,18780857.07,19003429.83,222572.76,590828.41
plant 2,11837655,535625,22.05.2022,7661,valtino malt,606.752,618.887,316,-290.752,Gain,47.92,2,12.135,-302.89,$1302828.68,7904939.07,158098.78,8063037.33,4116938.63,-3946098.7,-3788000.44
plant 2,11932655,535609,17.10.2022,7776,crystal milk,606.528,618.659,901,294.472,Loss,48.55,2,12.131,282.34,$3021213.01,18324502.85,366490.06,18691006.2,27221129.22,8530123.02,8896626.37
plant 2,11837641,535609,15.05.2022,7416,crystal milk,578.448,590.017,663,84.552,Loss,14.62,2,11.569,72.98,$3021213.01,17476146.23,349522.92,17825670.37,20030642.26,2204971.89,2554496.03
plant 2,11905197,535609,16.09.2022,7344,crystal milk,572.832,584.289,872,299.168,Loss,52.23,2,11.457,287.71,$3021213.01,17306474.91,346129.5,17652615.28,26344977.45,8692362.17,9038502.54
plant 2,11820568,699076,01.04.2022,7812,juice,562.465,573.714,699,136.535,Loss,24.27,2,11.249,125.29,$1295929.78,7289151.44,145783.03,7434930.58,9058549.16,1623618.58,1769397.72
plant 2,11929994,535626,12.10.2022,6999,valtino malt,554.322,565.408,551,-3.322,Gain,0.6,2,11.086,-14.41,$1302828.68,7221866,144437.32,7366297.58,7178586.03,-187711.55,-43279.97
plant 2,11858765,535609,06.06.2022,7056,crystal milk,550.369,561.376,910,359.631,Loss,65.34,2,11.007,348.62,$3021213.01,16627819.83,332556.4,16960364.75,27493038.39,10532673.64,10865218.56
plant 2,11877281,699076,27.07.2022,7560,juice,544.321,555.207,828,283.679,Loss,52.12,2,10.886,272.79,$1295929.78,7054017.94,141080.36,7195092.85,10730298.58,3535205.73,3676280.64
plant 2,11923333,699076,30.09.2022,7560,juice,544.321,555.207,420,-124.321,Gain,22.84,2,10.886,-135.21,$1295929.78,7054017.94,141080.36,7195092.85,5442905.08,-1752187.77,-1611112.86
plant 2,11818828,535611,30.04.2022,6666,crystal milk,539.946,550.745,0,-539.946,null,0,2,10.799,-550.75,$3021213.01,16312918.8,326258.38,16639179.59,0,-16639179.59,-16312918.8
plant 2,11840880,535609,07.05.2022,6912,crystal milk,539.136,549.919,860,320.864,Loss,59.51,2,10.783,310.08,$3021213.01,16288446.97,325768.94,16614224.37,25982431.89,9368207.52,9693984.92
plant 2,11940020,535625,30.10.2022,6784,valtino malt,537.293,548.039,682,144.707,Loss,26.93,2,10.746,133.96,$1302828.68,7000007.3,140000.15,7140009.27,8885291.6,1745282.33,1885284.3
plant 2,11818786,535611,29.04.2022,6600,crystal milk,534.6,545.292,1345,810.4,Loss,151.59,2,10.692,799.71,$3021213.01,16151404.75,323028.1,16474432.85,40635314.98,24160882.13,24483910.23
plant 2,11905222,535609,18.09.2022,6809,crystal milk,531.103,541.725,281,-250.103,Gain,47.09,2,10.622,-260.73,$3021213.01,16045752.93,320915.06,16366666.18,8489608.56,-7877057.62,-7556144.37
plant 2,11915687,535611,15.09.2022,660,crystal milk,53.461,54.53,0,-53.461,null,0,2,1.069,-54.53,$3021213.01,1615170.69,32303.41,1647467.45,0,-1647467.45,-1615170.69
